Population,edu_level,Sex,Age,Persons
Farm operators 4,Full,Both sexes,All age groups,"2,70,715"
Farm operators 4,Full,Both sexes,Under 35 years,"24,800"
Farm operators 4,Full,Both sexes,35 to 54 years,"98,475"
Farm operators 4,Full,Both sexes,55 years and over,"1,47,445"
Farm operators 4,Full,Males,All age groups,"1,92,890"
Farm operators 4,Full,Males,Under 35 years,"18,140"
Farm operators 4,Full,Males,35 to 54 years,"68,135"
Farm operators 4,Full,Males,55 years and over,"1,06,610"
Farm operators 4,Full,Females,All age groups,"77,830"
Farm operators 4,Full,Females,Under 35 years,"6,660"
Farm operators 4,Full,Females,35 to 54 years,"30,340"
Farm operators 4,Full,Females,55 years and over,"40,830"
Farm operators 4,None,Both sexes,All age groups,"49,915"
Farm operators 4,None,Both sexes,Under 35 years,"2,750"
Farm operators 4,None,Both sexes,35 to 54 years,"11,825"
Farm operators 4,None,Both sexes,55 years and over,"35,340"
Farm operators 4,None,Males,All age groups,"41,185"
Farm operators 4,None,Males,Under 35 years,"2,120"
Farm operators 4,None,Males,35 to 54 years,"9,745"
Farm operators 4,None,Males,55 years and over,"29,320"
Farm operators 4,None,Females,All age groups,"8,725"
Farm operators 4,None,Females,Under 35 years,630
Farm operators 4,None,Females,35 to 54 years,"2,075"
Farm operators 4,None,Females,55 years and over,"6,020"
Farm operators 4,Low,Both sexes,All age groups,"77,705"
Farm operators 4,Low,Both sexes,Under 35 years,"6,695"
Farm operators 4,Low,Both sexes,35 to 54 years,"28,580"
Farm operators 4,Low,Both sexes,55 years and over,"42,430"
Farm operators 4,Low,Males,All age groups,"55,140"
Farm operators 4,Low,Males,Under 35 years,"5,355"
Farm operators 4,Low,Males,35 to 54 years,"20,590"
Farm operators 4,Low,Males,55 years and over,"29,195"
Farm operators 4,Low,Females,All age groups,"22,570"
Farm operators 4,Low,Females,Under 35 years,"1,340"
Farm operators 4,Low,Females,35 to 54 years,"7,990"
Farm operators 4,Low,Females,55 years and over,"13,235"
Farm operators 4,Medium,Both sexes,All age groups,"37,920"
Farm operators 4,Medium,Both sexes,Under 35 years,"3,860"
Farm operators 4,Medium,Both sexes,35 to 54 years,"14,515"
Farm operators 4,Medium,Both sexes,55 years and over,"19,545"
Farm operators 4,Medium,Males,All age groups,"32,125"
Farm operators 4,Medium,Males,Under 35 years,"3,475"
Farm operators 4,Medium,Males,35 to 54 years,"12,020"
Farm operators 4,Medium,Males,55 years and over,"16,635"
Farm operators 4,Medium,Females,All age groups,"5,795"
